,Ticker,Amount,Qtr,Year
690,KVHI,150503.5,1,2022
691,KVHI,535143.0,2,2022
692,KVHI,2537289.12,3,2022
693,KVHI,14431293.86,4,2022
694,KVHI,47524.92,2,2023
695,KVHI,318214.08,3,2023
696,KVHI,11358478.38,4,2023
697,L,138849.11,2,2021
698,L,32724.0,3,2021
699,LAB,100680.2,2,2020
700,LAB,56972.4,3,2020
701,LAB,34796016.97,4,2020
702,LAB,67326.08,1,2021
703,LAB,89347.5,2,2021
704,LAB,1007184.5,3,2021
705,LAB,707031.4,4,2021
706,LAB,100418.0,2,2022
707,LAB,5551.83,3,2022
708,LAB,621694.51,4,2022
709,LAB,60847.38,1,2023
710,LAB,154871.5,2,2023
711,LAB,67015.25,3,2023
712,LAB,474752.76,4,2023
713,LABP,611918.0,4,2020
714,LABP,613188.0,4,2022
715,LAND,1470.96,3,2020
716,LAND,22464.0,2,2021
717,LAND,2700.0,4,2021
718,LAZ,127272.01,3,2020
719,LAZ,95934.94,4,2020
720,LAZ,374251.32,2,2021
721,LAZ,710871.64,3,2021
722,LAZ,2988.6,1,2022
723,LAZ,5187.52,3,2022
724,LAZR,7962541.91,3,2020
725,LBC,699343.73,3,2020
726,LBC,13830.99,2,2021
727,LBC,773182.02,3,2021
728,LBC,2164945.15,4,2021
729,LBC,1606410.08,1,2022
730,LBC,10000.0,4,2023
731,LBTYA,42826752.8,2,2020
732,LBTYA,103862.27,3,2020
733,LBTYA,69190782.27,4,2020
734,LBTYA,26114934.8,1,2021
735,LBTYA,44653870.43,2,2021
736,LBTYA,13708064.96,3,2021
737,LBTYA,46225905.04,4,2021
738,LBTYA,43842251.43,1,2022
739,LBTYA,34026687.12,2,2022
740,LBTYA,33208371.38,3,2022
741,LBTYA,25338561.31,4,2022
742,LBTYA,26252433.36,1,2023
743,LBTYA,37818358.82,2,2023
744,LBTYA,27527715.41,3,2023
745,LBTYA,7542417.77,4,2023
746,LBTYB,42826752.8,2,2020
747,LBTYB,103862.27,3,2020
748,LBTYB,69190782.27,4,2020
749,LBTYB,26114934.8,1,2021
750,LBTYB,44653870.43,2,2021
751,LBTYB,13708064.96,3,2021
752,LBTYB,46225905.04,4,2021
753,LBTYB,43842251.43,1,2022
754,LBTYB,34026687.12,2,2022
755,LBTYB,33208371.38,3,2022
756,LBTYB,25338561.31,4,2022
757,LBTYB,26252433.36,1,2023
758,LBTYB,37818358.82,2,2023
759,LBTYB,27527715.41,3,2023
760,LBTYB,7542417.77,4,2023
761,LHC,72944.74,3,2020
762,LHC,49419.08,2,2021
763,LE,2315100.62,3,2020
764,LE,17226.1,4,2020
765,LE,1720.0,1,2021
766,LE,3294971.9,2,2021
767,LE,252223.75,3,2021
768,LE,15571.92,4,2021
769,LE,7055.44,1,2022
770,LE,43963.0,1,2023
771,LEA,21437.59,3,2020
772,LEA,17475.52,2,2021
773,LEE,3201.32,2,2020
774,LEE,7658008.61,3,2020
775,LEE,333283.73,4,2020
776,LEE,242817.03,1,2021
777,LEE,3334358.53,2,2021
778,LEE,1371589.02,3,2021
779,LEE,130923.74,4,2021
780,LEE,66181.96,1,2022
781,LEE,257840.0,2,2022
782,LEE,1106831.75,3,2022
783,LEE,444169.24,4,2022
784,LEE,30961.38,2,2023
785,LEE,141500.0,4,2023
786,LEG,73714.16,2,2020
787,LEG,119468.19,3,2020
788,LEG,333951.41,4,2020
789,LEG,264342.8,1,2021
790,LEG,53107.45,2,2021
791,LEG,71417.88,3,2021
792,LEG,22985.24,4,2021
793,LEG,55551.76,1,2022
794,LEG,49222.7,2,2022
795,LEG,37600.0,4,2022
796,LEG,55020.0,1,2023
797,LEG,91910.84,2,2023
798,LEG,66957.73,3,2023
799,LEG,211861.65,4,2023
800,LEGH,3204.3,3,2020
801,LEGH,542622.69,2,2021
802,LEGH,13000.0,4,2021
803,LEN,2174154.58,3,2020
804,LEN,155465.05,4,2020
805,LEN.B,2174154.58,3,2020
806,LEN.B,155465.05,4,2020
807,LESL,282619.12,3,2020
808,LESL,103155.94,4,2020
809,LESL,4888.16,1,2021
810,LESL,472837.28,2,2021
811,LESL,68884.06,3,2021
812,LESL,47929.2,4,2021
813,LESL,20000.0,2,2022
814,LESL,82648.8,3,2022
815,LEV,124913.45,3,2020
816,LEV,17202.06,4,2020
817,LEV,124286.52,2,2021
818,LEV,11529.44,4,2021
819,LEV,34972.48,3,2022
820,LKFN,7916.96,3,2020
821,LFLY,10000.0,4,2021
822,LFVN,22142.9,3,2020
823,LFVN,5662.01,4,2020
824,LFVN,10000.0,3,2021
825,LGF.B,63603.36,2,2021
826,LGIH,25708.27,2,2021
827,LGMK,356352.72,3,2020
828,LGMK,335835.0,1,2021
829,LGMK,108780.0,3,2021
830,LGMK,139516.4,1,2022
831,LGMK,389634.5,3,2022
832,LGMK,209882.0,2,2023
833,LGMK,125929.2,4,2023
834,LGO,1023986.99,2,2020
